userID,shopID,shopname,service,commentID,serviceComment
30,36,有kaffe冇,裝潢,1,有點老舊
31,37,rufous coffee,裝潢,1,裝潢很新
32,38,The Quiet Light 默光咖啡,用餐氣氛,1,不太好
33,39,喜鵲咖啡,服務態度,1,GOOOOD
34,40,靈感咖啡 Vegan Coffee Shop,用餐氣氛,1,讚啦
35,41,那裡的咖啡店 The place,設備,1,很棒！
36,42,Merci cafe,裝潢,1,裝潢很溫馨
37,43,稼咖啡Jia Cafe Co-working space ,服務態度,1,櫃檯人員有點兇
38,44,Cafe note,服務態度,1,佳
39,45,Merci vielle,用餐氣氛,1,很棒！
40,46,Percent CAFE %,用餐氣氛,1,很棒！
41,47,陋室咖啡 ROAST COFFEE,設備,1,冷氣不夠涼
42,48,恬秘密微醺咖啡館,設備,1,廁所乾淨
43,49,COFFeee早午餐咖啡,設備,1,冷氣有點太冷
44,50,當樂咖啡,設備,1,空間寬敞
45,51,香投咖啡 Sanntou Cafe,裝潢,1,有點老舊
46,52,河流咖啡 RIVER COFFEE,裝潢,1,裝潢很新
47,53,轉角貓,用餐氣氛,1,不太好
48,54,壹咖啡_內湖康寧店,服務態度,1,GOOOOD
49,55,布夏拉提咖啡,用餐氣氛,1,讚啦
50,56,Reeds Cafe,設備,1,很棒！
51,57,cama cafe 內湖成功店,裝潢,1,裝潢很溫馨
52,58,在山野對話,設備,1,冷氣有點太冷
53,59,TIECAFE,設備,1,空間寬敞
54,60,象園咖啡內湖店,裝潢,1,有點老舊
55,61,咖啡杯杯(十二立方),裝潢,1,裝潢很新
56,62,Louisa Coffee 路易．莎咖啡(內湖成功直營店),用餐氣氛,1,不太好
57,63,Caffe Le MANI 琢手咖啡,服務態度,1,GOOOOD
58,64,萌兔 cafe&brunch,用餐氣氛,1,讚啦
59,65,BUNA CAF'E 布納咖啡館,設備,1,很棒！
60,66,心流映像 Stay flow coffee shot,裝潢,1,裝潢很溫馨
61,67,NOTCH咖啡,服務態度,1,櫃檯人員有點兇
62,68,Moooon River Cafe & Books,服務態度,1,佳
63,69,JokeR coffee,用餐氣氛,1,很棒！
64,70,暖窩咖啡,用餐氣氛,1,很棒！
65,71,Coffee and Couple,設備,1,冷氣不夠涼
66,72,Banana Blue Coffee 005,設備,1,廁所乾淨
67,73,愛上咖啡館,設備,1,冷氣有點太冷
68,74,咖啡弄,設備,1,冷氣有點太冷
69,75,有幸福Cafe,設備,1,空間寬敞
70,76,S&D,裝潢,1,有點老舊
71,77,兔子&羊,裝潢,1,裝潢很新
72,78,樂咖啡,用餐氣氛,1,不太好
73,79,奶油鬍子貓,服務態度,1,GOOOOD
74,80,帕卡遜 percussion caf’e,用餐氣氛,1,讚啦
75,81,Ponpie?,設備,1,很棒！
76,82,上島咖啡店,裝潢,1,裝潢很溫馨
77,83,Ten Ten Den Den 點點甜甜,服務態度,1,櫃檯人員有點兇
78,84,L'id?e Sweet 時甜,服務態度,1,佳
79,85,沐甜Mu Dessert,用餐氣氛,1,很棒！
80,86,楔子咖啡館,用餐氣氛,1,很棒！
81,87,敲我Ciao.O工作室,設備,1,冷氣不夠涼
82,88,艸堂珈琲,設備,1,廁所乾淨
83,89,何止,服務態度,1,佳
84,90,不二弄咖啡,用餐氣氛,1,很棒！
85,91,Doffee 咖啡店,用餐氣氛,1,很棒！
86,92,工寓咖啡 caf? industry,設備,1,冷氣不夠涼
87,93,楓橋,設備,1,廁所乾淨
88,94,小森咖啡,設備,1,冷氣有點太冷
89,95,時咖啡,設備,1,冷氣有點太冷
90,96,八識客咖啡館,設備,1,空間寬敞
91,97,老柴咖啡館,裝潢,1,有點老舊
92,98,一粟精品咖啡館,裝潢,1,裝潢很新
93,99,217咖啡,用餐氣氛,1,很棒！
